casename,rgas,gam,cp,cv,cfl,sfac,sfac_res,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg,cl,cd
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,7.5,0.25,90000.0,128.42270016670227,1,58550.0,0.00202713,3.05368e-06,0.10100669,-0.21088904
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,-10.0,0.25,90000.0,129.9780466556549,1,58800.0,0.00313304,3.50928e-06,-0.13421273,0.28668797
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,-7.5,0.25,90000.0,135.8038513660431,1,61700.0,0.00203658,3.04805e-06,-0.096101165,0.21735589
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,5.0,0.25,90000.0,139.02256798744202,1,62550.0,0.00116915,2.65289e-06,0.068769574,-0.14118934
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,-5.0,0.25,90000.0,141.61514592170715,1,64650.0,0.00117515,2.64515e-06,-0.064952195,0.14334424
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,2.5,0.25,90000.0,145.45900321006775,1,66700.0,0.00087822,2.28825e-06,0.03622973,-0.07084667
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,-2.5,0.25,90000.0,146.06013655662537,1,66750.0,0.000883524,2.29521e-06,-0.030840576,0.071599066
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,0.0,0.25,90000.0,151.26133275032043,1,68750.0,0.000880851,1.94637e-06,0.0030596852,0.00018383656
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,12.5,0.25,90000.0,112.73188281059265,1,51700.0,0.0044641,4.15893e-06,0.17560852,-0.3492666
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,10.0,0.25,90000.0,119.01478815078735,1,54600.0,0.00311864,3.5208e-06,0.1346798,-0.27919
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,15.0,0.25,90000.0,114.60700678825378,1,52400.0,0.00596885,4.72744e-06,0.24973303,-0.40290105
naca2412,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,-10.0,0.25,90000.0,112.77159762382507,1,51850.0,0.00313454,3.51138e-06,0.6420481,0.32941023
naca2412,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,-7.5,0.25,90000.0,119.67009997367859,1,54900.0,0.00204035,3.0727e-06,0.6738251,0.24595375
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,17.5,0.25,90000.0,131.2517170906067,1,60050.0,0.00720311,5.62192e-06,0.39719754,-0.44280267
naca2412,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,-5.0,0.25,90000.0,123.9910626411438,1,56900.0,0.001178,2.69154e-06,0.7080285,0.16408248
naca0012,287.0,1.4,1004.5000000000001,717.5000000000001,0.2,0.6,0.5,0.0001,0.01,0.0,0.6,100000,4,1,2,-1,-1,100000.0,300.0,20.0,0.25,90000.0,216.25842308998108,1,98250.0,0.00778492,6.52792e-06,0.6157031,-0.46725833
