casename,rgas,gam,cp,cv,cfl,sfac,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.344632387161255,1,37950.0,5.40266e-05,2.13729e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.388643503189087,1,37950.0,5.40266e-05,2.13729e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.4296514987945557,1,37950.0,5.40266e-05,2.13729e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.023853323044733008,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.7307186126708984,1,42850.0,0.000140578,2.99348e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.023853323044733008,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.773249864578247,1,42850.0,0.000140578,2.99348e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01544452104946379,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,4.445403814315796,1,51900.0,8.93328e-05,1.89336e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01544452104946379,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,4.469409465789795,1,51900.0,8.93328e-05,1.89336e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01544452104946379,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,4.525421619415283,1,51900.0,8.93328e-05,1.89336e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.05689810202763908,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,2.2882604598999023,1,27100.0,0.000337694,7.01093e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.08787639344404101,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.6783788204193115,1,19200.0,0.000523576,1.07353e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.03684031498640387,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.2764806747436523,1,39400.0,0.000218049,4.54074e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.03684031498640387,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.2804815769195557,1,39400.0,0.000218049,4.54074e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.05689810202763908,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,2.3002631664276123,1,27100.0,0.000337694,7.01093e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.05689810202763908,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,2.33327054977417,1,27100.0,0.000337694,7.01093e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.023853323044733008,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.639655351638794,1,42850.0,0.000140578,2.99348e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.03684031498640387,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.2924845218658447,1,39400.0,0.000218049,4.54074e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.08787639344404101,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.6408135890960693,1,19200.0,0.000523576,1.07353e-05
