casename,rgas,gam,cp,cv,cfl,sfac,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.3841748237609863,1,37950.0,5.40266e-05,2.13729e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.403181791305542,1,37950.0,5.40266e-05,2.13729e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.4371886253356934,1,37950.0,5.40266e-05,2.13729e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.023853323044733008,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.7692604064941406,1,42850.0,0.000140578,2.99348e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.023853323044733008,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.793264865875244,1,42850.0,0.000140578,2.99348e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01544452104946379,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,4.529429197311401,1,51900.0,8.93328e-05,1.89336e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01544452104946379,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,4.532430410385132,1,51900.0,8.93328e-05,1.89336e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01544452104946379,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,4.574442386627197,1,51900.0,8.93328e-05,1.89336e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.05689810202763908,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,2.310515880584717,1,27100.0,0.000337694,7.01093e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.08787639344404101,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.7863991260528564,1,19200.0,0.000523576,1.07353e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.03684031498640387,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.337745189666748,1,39400.0,0.000218049,4.54074e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.03684031498640387,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.3047380447387695,1,39400.0,0.000218049,4.54074e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.05689810202763908,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,2.339522361755371,1,27100.0,0.000337694,7.01093e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.05689810202763908,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,2.3915343284606934,1,27100.0,0.000337694,7.01093e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.023853323044733008,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.6498148441314697,1,42850.0,0.000140578,2.99348e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.03684031498640387,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,3.352752685546875,1,39400.0,0.000218049,4.54074e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.08787639344404101,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.6851086616516113,1,19200.0,0.000523576,1.07353e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.20961440008267682,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.0247342586517334,1,10950.0,0.00127154,2.58963e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.13572088082974532,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.277789831161499,1,14200.0,0.000814712,1.67223e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.13572088082974532,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.2797906398773193,1,14200.0,0.000814712,1.67223e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.08787639344404101,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.6618759632110596,1,19200.0,0.000523576,1.07353e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.20961440008267682,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.0082252025604248,1,10950.0,0.00127154,2.58963e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.20961440008267682,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,0.9992234706878662,1,10950.0,0.00127154,2.58963e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.13572088082974532,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.2987959384918213,1,14200.0,0.000814712,1.67223e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.5,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,0.39308738708496094,2,950.0,1.23171,0.0156754
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.5,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,0.4010891914367676,2,950.0,1.23171,0.0156754
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.5,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,0.3940882682800293,2,950.0,1.23171,0.0156754
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.32373940143476265,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,0.836186408996582,1,8850.0,0.00199624,4.0272e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.32373940143476265,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,0.838186502456665,1,8850.0,0.00199624,4.0272e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.32373940143476265,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.066741943359375,1,8850.0,0.00199624,4.0272e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,4,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,11.970698833465576,1,37950.0,5.40699e-05,2.1373e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,4,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,12.148739576339722,1,37950.0,5.40699e-05,2.1373e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,4,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,12.014205694198608,1,37950.0,5.40699e-05,2.1373e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.023853323044733008,0.8,0.0001,0.01,0,0,100000,4,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,13.519541263580322,1,42850.0,0.000140799,2.99438e-06
