casename,rgas,gam,cp,cv,cfl,sfac,sfac_res,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.5,0.0001,0.01,0.0,0.9,500,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.37708401679992676,3,500.0,0.000861171,0.000146822
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.5,0.0001,0.01,0.0,0.9,500,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.38208508491516113,3,500.0,0.000861171,0.000146822
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.5,0.0001,0.01,0.0,0.9,500,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.3280792236328125,3,500.0,0.000861171,0.000146822
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.5,0.0001,0.01,0.0,0.9,500,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.3370804786682129,3,500.0,0.000861171,0.000146822
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.5,0.0001,0.01,0.0,0.9,500,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.3241546154022217,3,500.0,0.000861171,0.000146822
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.5,0.0001,0.01,0.0,0.9,500,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.3140697479248047,3,500.0,0.000861171,0.000146822
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.5,0.0001,0.01,0.0,0.9,500,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.3270738124847412,3,500.0,0.000861171,0.000146822
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.5,0.0001,0.01,0.0,0.9,500,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.3310739994049072,3,500.0,0.000861171,0.000146822
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.5,0.0001,0.01,0.0,0.9,500,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.33304333686828613,3,500.0,0.000861171,0.000146822
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.5,0.0001,0.01,0.0,0.9,500,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.33904457092285156,3,500.0,0.000861171,0.000146822
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.5,0.0001,0.01,0.0,0.9,500,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.9394307136535645,3,500.0,0.000861171,0.000146822
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.5,0.0001,0.01,0.0,0.9,500,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,1.0376055240631104,3,500.0,0.000861171,0.000146822
