casename,rgas,gam,cp,cv,cfl,sfac,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01544452104946379,0.8,0.0001,0.01,0,0,100000,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,3.6361329555511475,1,41450.0,9.94185e-05,2.11871e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,5.250511407852173,1,61350.0,6.38175e-05,1.274e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01544452104946379,0.8,0.0001,0.01,0,0,100000,2,2,53,37,100000.0,300.0,0.0,0.25,85000.0,6.842870473861694,1,41450.0,9.94952e-05,2.11811e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01544452104946379,0.8,0.0001,0.01,0,0,100000,3,2,53,37,100000.0,300.0,0.0,0.25,85000.0,10.007030010223389,1,41450.0,9.95055e-05,2.11789e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,2,2,53,37,100000.0,300.0,0.0,0.25,85000.0,10.006028175354004,1,61350.0,6.38294e-05,1.27318e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.023853323044733008,0.8,0.0001,0.01,0,0,100000,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,3.4213099479675293,1,38950.0,0.00015343,3.03368e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,3,2,53,37,100000.0,300.0,0.0,0.25,85000.0,14.718401432037354,1,61400.0,6.38409e-05,1.27395e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.023853323044733008,0.8,0.0001,0.01,0,0,100000,2,2,53,37,100000.0,300.0,0.0,0.25,85000.0,6.308026075363159,1,38950.0,0.000153686,3.03442e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01544452104946379,0.8,0.0001,0.01,0,0,100000,4,2,53,37,100000.0,300.0,0.0,0.25,85000.0,13.379801511764526,1,41450.0,9.94878e-05,2.11815e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,4,2,53,37,100000.0,300.0,0.0,0.25,85000.0,19.32986307144165,1,61400.0,6.38362e-05,1.27431e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.023853323044733008,0.8,0.0001,0.01,0,0,100000,3,2,53,37,100000.0,300.0,0.0,0.25,85000.0,9.524072647094727,1,38950.0,0.000153695,3.03516e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.03684031498640387,0.8,0.0001,0.01,0,0,100000,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,2.5721805095672607,1,29800.0,0.000237197,4.53381e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01544452104946379,0.8,0.0001,0.01,0,0,100000,5,2,53,37,100000.0,300.0,0.0,0.25,85000.0,16.321045637130737,1,41450.0,9.94848e-05,2.11798e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.03684031498640387,0.8,0.0001,0.01,0,0,100000,2,2,53,37,100000.0,300.0,0.0,0.25,85000.0,4.832835674285889,1,29800.0,0.000237799,4.53637e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.0001,0.01,0,0,100000,5,2,53,37,100000.0,300.0,0.0,0.25,85000.0,24.06667709350586,1,61400.0,6.38236e-05,1.27378e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.023853323044733008,0.8,0.0001,0.01,0,0,100000,4,2,53,37,100000.0,300.0,0.0,0.25,85000.0,12.303254842758179,1,38950.0,0.000153666,3.03402e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.05689810202763908,0.8,0.0001,0.01,0,0,100000,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,1.8339731693267822,1,20950.0,0.000367662,7.11304e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.03684031498640387,0.8,0.0001,0.01,0,0,100000,3,2,53,37,100000.0,300.0,0.0,0.25,85000.0,7.149053335189819,1,29800.0,0.000237802,4.5359e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.05689810202763908,0.8,0.0001,0.01,0,0,100000,2,2,53,37,100000.0,300.0,0.0,0.25,85000.0,3.3886520862579346,1,20850.0,0.000369145,7.11849e-06
