casename,rgas,gam,cp,cv,cfl,sfac,sfac_res,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.13333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.34563112258911,3,100000.0,7.75337e-06,1.63583e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.05,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.36963701248169,3,100000.0,1.24616e-05,2.37844e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.05,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.392640352249146,3,100000.0,1.24616e-05,2.37844e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.21666666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.409645080566406,3,100000.0,7.89789e-06,1.27048e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.13333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.415645599365234,3,100000.0,7.75337e-06,1.63583e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.13333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.48166108131409,3,100000.0,7.75337e-06,1.63583e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.05,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.48466086387634,3,100000.0,1.24616e-05,2.37844e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.21666666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.56067895889282,3,100000.0,7.89789e-06,1.27048e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.3,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.40927577018738,3,100000.0,9.54212e-06,1.03405e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.3833333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.4092755317688,3,100000.0,1.17789e-05,8.69204e-07
