casename,rgas,gam,cp,cv,cfl,sfac,sfac_res,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.21666666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,1.1122889518737793,1,5700.0,0.0125059,0.000387918
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.21666666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,1.1312921047210693,1,5700.0,0.0125059,0.000387918
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.13333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,1.1322929859161377,1,5900.0,0.0107712,0.000398653
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.13333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,1.1683006286621094,1,5900.0,0.0107712,0.000398653
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.13333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,1.170302152633667,1,5900.0,0.0107712,0.000398653
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.05,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,1.2233130931854248,1,6900.0,0.00839482,0.000391318
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.05,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,1.256321907043457,1,6900.0,0.00839482,0.000391318
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.05,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,1.267324447631836,1,6900.0,0.00839482,0.000391318
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.21666666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7321522235870361,1,5700.0,0.0125059,0.000387918
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.3,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7596645355224609,1,6200.0,0.0140604,0.000418762
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.3,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.8426823616027832,1,6200.0,0.0140604,0.000418762
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.3,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.8546991348266602,1,6200.0,0.0140604,0.000418762
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.3833333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.8987100124359131,1,6300.0,0.0157045,0.000456562
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.3833333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.8667018413543701,1,6300.0,0.0157045,0.000456562
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.3833333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.9137129783630371,1,6300.0,0.0157045,0.000456562
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.4666666666666666,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.8877072334289551,1,6350.0,0.0174169,0.000492544
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.4666666666666666,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7571690082550049,1,6350.0,0.0174169,0.000492544
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.4666666666666666,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.784174919128418,1,6350.0,0.0174169,0.000492544
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.55,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7681715488433838,1,6400.0,0.0191539,0.000525167
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.55,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7761733531951904,1,6400.0,0.0191539,0.000525167
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.55,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7501671314239502,1,6400.0,0.0191539,0.000525167
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.6333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7401642799377441,1,6400.0,0.0208909,0.000559156
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.6333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7281613349914551,1,6400.0,0.0208909,0.000559156
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.6333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7701714038848877,1,6400.0,0.0208909,0.000559156
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.7166666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.72416090965271,1,6350.0,0.0226184,0.000586344
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.7166666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.765169620513916,1,6350.0,0.0226184,0.000586344
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.7166666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7921757698059082,1,6350.0,0.0226184,0.000586344
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.8,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7531683444976807,1,6350.0,0.0243336,0.000607288
